id,office_name,office_level
50900200115,Rangallepola Prathamika Vidyalaya,Level 5
50900200116,Kalundawa Saranankara Maha Vidyalaya,Level 5
50900200117,Ganegoda Prathamika Vidyalaya,Level 5
50900200118,Paranagama Prathamika Vidyalaya,Level 5
50900200119,Ranawaththa Prathamika Vidyalaya,Level 5
50900200120,Riloiuwa Prathamika Vidyalaya,Level 5
50900200121,Weragala Prathamika Vidyalaya,Level 5
50900200122,Sirigala Wijayaba Maha Vidyalaya,Level 5
50900200123,"Sarabhumi Prathamika Vidyalaya, Udawelawaththa",Level 5
50900200124,Polgahayaya Madya Maha Vidyalaya,Level 5
50900200125,"Nooraniya Muslim Vidyalaya, Pahamune",Level 5
50900200126,"Al Hijra Musllm Kanista Vidyalaya, Dambadeniya",Level 5
50900200127,Alawwa Sri Rahula National School,Level 5
50900200128,Kandegedara Maha Vidyalaya,Level 5
50900200129,Galgamuwa Maha Vidyalaya,Level 5
50900200130,Nungamuwa Damsen Madya Maha Vidyalaya,Level 5
50900200131,Poramadala Maha Vidyalaya,Level 5
50900200132,Boyawalana Maha Vidyalaya,Level 5
50900200133,"Wayamba President's College, Pambadeniya",Level 5
50900200134,Humbuluwa Madya Maha Vidyalaya,Level 5
50900200135,Wewala Maha Vidyalaya,Level 5
50900200136,"Wijayaba Maha Vidyalaya, Wennoruwa",Level 5
50900200137,Walakumbura Maha Vidyalaya,Level 5
50900200138,Agbowa Prathamika Vidyalaya,Level 5
50900200139,Udakekulawala Maha Vidyalaya,Level 5
50900200140,Othara Kiruwanpola Primary School,Level 5
50900200141,Galdeniya Kanishta Vidyalaya,Level 5
50900200142,Burussegoda Kanishta Vidyalaya,Level 5
50900200143,Madawala Kanishta Vidyalaya,Level 5
50900200144,Alawwa Rathanalankara Maha Vidyalaya,Level 5
50900200145,Adiyadeniya Prathamika Vidyalaya,Level 5
50900200146,Pahalabujjomuwa Prathamika Vidyalaya,Level 5
50900200147,Poramadala Prathamika Vidyalaya,Level 5
50900200148,Wewala Prathamika Vidyalaya,Level 5
50900200149,"Mahindodaya Prathamika Vidyalaya, Dambadeniya",Level 5
50900200000,Divisional Education Office - Kuliyapitiya East,Level 4
50900200201,Nakkawattha Madya Maha Vidyalaya,Level 5
50900200202,Galgammulla Mayurawathi Maha Vidyalaya,Level 5
50900200203,"Ruwangiri Madya Maha Vidyalaya, Bogamulla",Level 5
50900200204,Neththipolagedara Maha Vidyalaya,Level 5
50900200205,Horombawa Maha Vidyalaya,Level 5
50900200206,Medelpola Maha Vidyalaya,Level 5
50900200207,Etampola Prathamika Vidyalaya,Level 5
50900200208,Godagama Janapada Kanishta Vidyalaya,Level 5
50900200209,Thelahara Ariyawansa Kanishta Vidyalaya,Level 5
50900200210,Dalupothagama Prathamika Vidyalaya,Level 5
50900200211,Dethawa Kanishta Vidyalaya,Level 5
50900200212,Pahala Pothuewwa Primary School,Level 5
50900200213,Ranasgalla Primary School,Level 5
50900200214,Ruggassagara Kanishta Vidyalaya,Level 5
50900200215,Alahitiya Primary School,Level 5
50900200216,Andigedara Primary School,Level 5
50900200217,Karagahagedara Primary School,Level 5
50900200218,Kilimpola Primary School,Level 5
50900200219,Koduruwapola Primary School,Level 5
50900200220,Barigoda Mahinda Model Primary School,Level 5
50900200221,Mahagama Primary School,Level 5
50900200222,Manawa Kanishta Vidyalaya,Level 5
50900200223,Muruthenga Jayakodi Primary School,Level 5
50900200224,Kekunagolla National School,Level 5
50900200225,Siyambalagaskotuwa Madeena National School,Level 5
50900200226,Arakyala Madya Maha Vidyalaya,Level 5
50900200227,"Minhaj Muslim Vidyalaya, Horombawa",Level 5
50900200228,"Sulaimaniya Madya Maha Vidyalaya, Kureekotuwa",Level 5
50900200229,Meddeketiya Madya Maha Vidyalaya,Level 5
50900200230,Panavitiya Muslim Vidyalaya,Level 5
50900200231,"Al- Irshath Muslim Vidyalaya, Thoranegedara",Level 5
50900200232,"Al Badur Muslim Vidyalaya, Metiwelagedara",Level 5
50900200233,Kekunagolla Muslim Primary School,Level 5
50900200000,Divisional Education Office - Pannala,Level 4
50900200301,Sandalanka Madya Maha Vidyalaya,Level 5
50900200302,"IMRA Iriyagolla Maha Vidyalaya, Yakwila",Level 5
50900200303,Kadanegedara Dharmapala Maha Vidyalaya,Level 5
50900200304,Daraluwa Maha Vidyalaya,Level 5
50900200305,Hendiyagala Sri RathanapalaMaha Vidyalaya,Level 5
50900200306,Welpalla Maha Vidyalaya,Level 5
50900200307,Nedalagamuwa Rahula Maha Vidyalaya,Level 5
50900200308,Gallehamulla Maha Vidyalaya,Level 5
50900200309,Mankadura Vidyananda Vidyalaya,Level 5
50900200310,Gonulla Vidyadeepthi Kanishta Vidyalaya,Level 5
50900200311,Hettirippuwa Kanishta Vidyalaya,Level 5
50900200312,Waguruwela Kanishta Vidyalaya,Level 5
50900200313,Ihala Hundirapola Kanishta Vidyalaya,Level 5
50900200314,Uthurawela Dharmaraja Kanishta Vidyalaya,Level 5
50900200315,Kithalahitiyawa Prathamika Vidyalaya,Level 5
50900200316,Werahara Kanishta Vidyalaya,Level 5
50900200317,"Randiya Vidyalaya, Galayaya",Level 5
50900200318,Daraluwa Kanishta Vidyalaya,Level 5
50900200319,Nalawalana Kanishta Vidyalaya,Level 5
50900200320,"Jayasri Primary School, Hunuwila",Level 5
50900200321,Napokuna Kanishta Vidyalaya,Level 5
50900200322,Wadumunnegedara Primary School,Level 5
50900200323,Koralampoththa Prathamika Vidyalaya,Level 5
50900200324,Giriulla Wickramashila National School,Level 5
50900200325,Pannala National School,Level 5
50900200326,Ingradaula Gemunu Madya Maha Vidyalaya,Level 5
50900200327,Labbala Maha Vidyalaya,Level 5
50900200328,Hamangalla Maha Vidyalaya,Level 5
50900200329,Bopitiya Maha Vidyalaya,Level 5
50900200330,Kawdumunna Maha Vidyalaya,Level 5
50900200331,Elabadagama Sinhala Maha Vidyalaya,Level 5
50900200332,"Wayamba Sri Siddhartha Vidyalaya, Murunthange",Level 5
50900200333,Hangawa Sri Sumangala Prathamika Vidyalaya,Level 5
50900200334,Narangoda Kanishta Vidyalaya,Level 5
50900200335,Katugampala Kanishta Vidyalaya,Level 5
50900200336,Meddepola Primary School,Level 5
